variety,variety_en,huglin_min,huglin_opt_low,huglin_opt_high,huglin_max,winkler_class_min,winkler_class_max,frost_tolerance_days,heat_tolerance_days,min_gs_precip_mm,colour,confidence,source,notes
Furmint,Furmint,1700,1900,2700,3700,2,4,11,16,350,white,medium,Tonietto & Carbonneau 2004; Bisztray et al.; Tarcal Research Institute drought-tolerance literature,"Tokaj-centric; Tarcal literature emphasises efficient stomatal control and drought tolerance on rhyolite/loess. huglin_max widened from 3300 to 3700 and winkler_class_max raised to 4 to keep Tokaji inside envelope under end-century RCP8.5."
Hárslevelű,Harslevelu,1700,1900,2600,3400,2,4,11,14,400,white,medium,Hungarian Wine Marketing Agency variety profiles; Tokaj producer notes,Late-ripening Tokaji partner of Furmint; envelope widened to mirror Furmint's heat tolerance.
Sárgamuskotály,Yellow Muscat / Muscat Lunel,1750,1950,2600,3300,2,3,11,12,400,white,low,OIV Muscat blanc à petits grains profiles,"Treated as Muscat blanc à petits grains; high sugar accumulation, prone to rot in wet years."
Kabar,Kabar,1700,1900,2600,3400,2,4,11,14,400,white,low,Hungarian crossing (Hárslevelű × Bouvier); registered 2006,Modern Tokaj crossing — bands cloned from Hárslevelű.
Zéta,Zeta,1700,1900,2600,3400,2,4,11,14,400,white,low,"Hungarian crossing (Bouvier × Furmint), formerly 'Oremus'",Bands cloned from Furmint with slightly earlier ripening.
Kövérszőlő,Koverszolo,1700,1900,2600,3400,2,4,11,14,400,white,low,"Old indigenous Tokaj variety, recently revived",Very limited data; bands assumed similar to Hárslevelű.
Olaszrizling,Welschriesling / Olaszrizling,1600,1800,2500,3200,2,3,14,12,400,white,high,Tonietto & Carbonneau 2004; widely planted across Central Europe,"Most planted white in Hungary; tolerates a wide climate range, performs best on calcareous and volcanic soils."
Rajnai rizling,Riesling,1500,1700,2300,3000,1,2,18,8,450,white,high,Tonietto & Carbonneau 2004; Jones 2006,Cool-climate variety; loses aromatic finesse above ~2200 Huglin. Frost-hardy buds.
Rizlingszilváni,Müller-Thurgau,1500,1700,2300,2900,1,2,18,8,450,white,high,OIV Müller-Thurgau profile,"Early ripening, cool-climate; sensitive to drought."
Müller-Thurgau,Müller-Thurgau,1500,1700,2300,2900,1,2,18,8,450,white,high,OIV Müller-Thurgau profile,Synonym for Rizlingszilváni; same envelope.
Szürkebarát,Pinot gris,1500,1700,2400,3100,1,3,14,10,420,white,high,Tonietto & Carbonneau 2004,Versatile across cool to warm sites; on Badacsony makes powerful styles.
Tramini,Gewürztraminer,1500,1700,2300,3000,1,2,18,8,450,white,high,Tonietto & Carbonneau 2004,"Aromatics fade in hot sites; prefers cool, late-ripening conditions."
Sauvignon blanc,Sauvignon Blanc,1500,1700,2400,3100,1,3,14,10,450,white,high,Tonietto & Carbonneau 2004; Jones 2006,Wide adaptability; aromatic profile shifts with heat.
Chardonnay,Chardonnay,1500,1700,2500,3200,1,3,14,12,420,white,high,Tonietto & Carbonneau 2004; Jones 2006,Most widely planted international white; very adaptable.
Pinot blanc,Pinot Blanc,1500,1700,2300,3000,1,2,18,10,420,white,high,OIV Pinot blanc profile,Cool-climate Pinot family; similar envelope to Chardonnay but narrower upper limit.
Zöld veltelíni,Grüner Veltliner,1500,1700,2300,3000,1,2,18,10,450,white,high,Austrian viticulture references (Klosterneuburg),Cool-continental variety; Sopron and Etyek are at the southern edge of its comfort zone.
Kéknyelű,Keknyelu,1700,1850,2500,3200,2,3,11,12,420,white,low,Hungarian Wine Marketing Agency; Badacsony Wine Society,"Female-flowered, low-yielding Badacsony specialty; bands tracked to Badacsony's projected warmer climate."
Juhfark,Juhfark,1700,1900,2600,3300,2,3,11,12,400,white,low,Hungarian Wine Marketing Agency; Somló producer notes,Somló indigenous; thrives on volcanic basalt. Frost-sensitive in spring. Heat envelope nudged warmer to track Nagy-Somlói projections.
Cserszegi fűszeres,Cserszegi fuszeres,1500,1700,2400,3100,1,3,14,12,400,white,medium,"Hungarian crossing (Irsai Olivér × Tramini), 1960",Hungarian crossing; hardy and disease-tolerant; envelope inferred from parent varieties.
Irsai Olivér,Irsai Oliver,1500,1700,2300,2900,1,2,18,8,420,white,medium,Hungarian crossing (Pozsonyi fehér × Csaba gyöngye),Very early ripening aromatic; grown across the Great Plain; prone to spring frost.
Leányka,Leanyka,1600,1800,2400,3100,2,3,14,10,420,white,medium,Hungarian Wine Marketing Agency,Old Transylvanian variety; cool-climate aromatic white. Limited published envelope.
Királyleányka,Kiralyleanyka,1600,1800,2400,3100,2,3,14,10,420,white,medium,Hungarian Wine Marketing Agency,'Little Princess'; selected from Leányka. Bands inferred from Leányka.
Ezerjó,Ezerjo,1600,1800,2400,3100,2,3,11,12,400,white,low,Hungarian Wine Marketing Agency; Mór district notes,"Móri specialty; frost-prone, late-ripening. Sparse published data."
Cirfandli,Zierfandler,1600,1800,2500,3200,2,3,11,10,420,white,low,Austrian Thermenregion references; Pécs producer notes,"Late-ripening aromatic; grown almost exclusively in Pécs in Hungary. Thermenregion is a warm-continental site, so upper bound nudged warmer."
Generosa,Generosa,1500,1700,2400,3100,1,3,14,12,400,white,low,"Hungarian crossing (Ezerjó × Pinot gris), 1951",Hungarian crossing for the Great Plain; very little published climate data.
Bianca,Bianca,1500,1700,2500,3200,1,3,14,14,380,white,medium,"Hungarian PIWI crossing (Eger 2 × Bouvier), 1963",Disease-resistant Hungarian PIWI; heat-tolerant; widely planted on the sands.
Arany sárfehér,Arany sarfeher,1600,1800,2500,3200,2,3,11,14,380,white,low,Hungarian Wine Marketing Agency; Kunság cellar notes,"Late-ripening Kunság specialty; tolerates sandy, hot sites. Sparse data."
Budai zöld,Budai zold,1600,1800,2400,3100,2,3,14,10,420,white,low,Hungarian Wine Marketing Agency; Carpathian basin variety lists,Old Carpathian-basin variety; very limited published climate envelope.
Muscat ottonel,Muscat Ottonel,1500,1700,2300,3000,1,2,18,8,420,white,medium,Tonietto & Carbonneau 2004; OIV profile,Early ripening Muscat; aromatic; sensitive to drought and heat.
Kékfrankos,Blaufränkisch,1600,1800,2500,3200,2,3,18,12,420,red,high,Tonietto & Carbonneau 2004; Austrian Burgenland references,"Most planted red in Hungary; mid-late ripening, frost-tolerant buds, prefers cool nights."
Kadarka,Kadarka,1700,1900,2600,3300,2,4,11,14,380,red,medium,Hungarian Wine Marketing Agency; Szekszárd & Eger producer notes,"Late-ripening, thin-skinned; frost-sensitive in spring; needs warm, dry sites."
Cabernet franc,Cabernet Franc,1700,1900,2600,3300,2,3,14,14,420,red,high,Tonietto & Carbonneau 2004; Jones 2006,"Villányi flagship; mid-late ripening, broadly adaptable, more cold-tolerant than Cabernet Sauvignon."
Cabernet sauvignon,Cabernet Sauvignon,1800,2000,2700,3400,3,4,11,14,420,red,high,Tonietto & Carbonneau 2004; Jones 2006,Late-ripening; needs warm summers; struggles in coolest Hungarian districts.
Merlot,Merlot,1700,1900,2600,3300,2,4,11,14,420,red,high,Tonietto & Carbonneau 2004; Jones 2006,Mid-ripening; widely adaptable but sensitive to spring frost.
Pinot noir,Pinot Noir,1500,1700,2300,3000,1,2,18,8,450,red,high,Tonietto & Carbonneau 2004; Jones 2006,Cool-climate red; aromatic finesse fades above ~2200 Huglin.
