category,name,scientific_name,year,borvidek,severity,regulatory_status,source,notes,verification_status
fungal_disease,Downy mildew,Plasmopara viticola,,all,high,"Routinely managed with copper compounds and synthetic fungicides; copper use capped at 28 kg/ha over 7 years under EU Reg 2018/1981",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32018R1981,"Most economically damaging fungal disease in wet years across all Hungarian wine districts. Endemic in Europe since 1878.",verified
fungal_disease,Powdery mildew,Erysiphe necator,,all,high,"Managed with sulphur and DMI/SDHI fungicides; no specific HU restriction beyond EU MRLs",https://akjournals.com/view/journals/038/42/1/article-p9.xml,"Endemic across all Hungarian districts; severity rises in warm dry summers. Cleistothecia overwintering documented in HU vine regions (Acta Phytopathologica et Entomologica Hungarica 2007).",verified
fungal_disease,Grey mould / Botrytis bunch rot,Botrytis cinerea,,all,medium,"Standard EU fungicide approvals apply; in Tokaj, noble rot form is desired for aszú wines",,"Dual role: destructive bunch rot in most regions; essential for Tokaji aszú in Tokaji district under humid autumns.",verified
fungal_disease,Black rot,Guignardia bidwellii,,multiple,medium,"Managed with broad-spectrum fungicides",,"Increasing concern in eastern Hungarian districts in wet years.",partial
bacterial_disease,Crown gall,Agrobacterium vitis,,multiple,medium,"No specific regulatory measure",,"Often follows winter freeze damage.",partial
bacterial_disease,Pierce's disease,Xylella fastidiosa,,none,low,"Xylella subject to EU emergency measures (Implementing Regulation 2020/1201); vector and pathogen not currently established in HU vineyards",https://eur-lex.europa.eu/eli/reg_impl/2020/1201/oj,"Future risk under climate warming; surveillance ongoing.",verified
viral_disease,Grapevine leafroll disease,"Grapevine leafroll-associated virus 1, 3",,multiple,medium,"Certified planting material required under EU Directive 2005/43/EC",,"Widespread but chronic; not a 2025 emergency.",partial
viral_disease,Grapevine fanleaf degeneration,Grapevine fanleaf virus,,multiple,medium,"Nematode vector (Xiphinema index) management; certified material",,"Soil-borne; affects replant sites.",partial
phytoplasma_disease,Bois noir,"Candidatus Phytoplasma solani",,multiple,medium,"Not a quarantine pest in EU; managed via vector and weed host control",https://link.springer.com/article/10.1007/s10658-019-01906-9,"Often confused with FD symptomatically; widespread in HU. Recovery in Kékfrankos documented (Eur. J. Plant Pathology 2019).",verified
phytoplasma_disease,Flavescence dorée,"Candidatus Phytoplasma vitis (16SrV-C/D)",2025,"21 of 22 districts",catastrophic,"EU quarantine pest (Reg 2019/2072 Annex II); mandatory uprooting and vector control in demarcated zones",https://www.vinetur.com/en/2025122294408/flavescence-doree-hits-21-of-22-hungarian-wine-regions-threatening-270-million-liter-industry.html,"See flavescence_doree_timeline.csv for full timeline.",verified
pest,American grapevine leafhopper,Scaphoideus titanus,2006,multiple,high,"Mandatory insecticide treatments in FD demarcated zones under NÉBIH decree",https://gd.eppo.int/reporting/article-265,"Sole confirmed vector of FD phytoplasma. First HU record 2006 (EPPO Reporting Service Article 265).",verified
pest,European grapevine moth,Lobesia botrana,,all,medium,"Pheromone monitoring widely used; mating disruption authorised",,"Standard pest across all Hungarian districts.",partial
pest,Spotted wing drosophila,Drosophila suzukii,2012,multiple,medium,"No specific HU regulation",https://www.researchgate.net/publication/242020588_First_record_of_spotted_wing_drosophila_Drosophila_suzukii_Matsumura_1931_in_Hungary,"First HU record 2012 near Táska (Somogy county) at a highway rest area; subsequently widespread. Increasing problem on thin-skinned grape varieties.",verified
pest,Brown marmorated stink bug,Halyomorpha halys,2013,multiple,low,"No specific HU regulation",https://www.biotaxa.org/Zootaxa/article/view/zootaxa.3780.1.8,"First HU record 2013 in Budapest (Zootaxa 3780.1.8, 2014). Now widespread; emerging threat to fruit and wine.",verified
climate_event,Severe drought,,2022,all,high,"Emergency irrigation derogations in some districts",https://www.researchgate.net/publication/370108537_Impact_of_the_2022_Drought_Shock_on_the_Adaptive_Capacity_of_Hungarian_Agriculture,"2022 was one of the driest summers on record across Central Europe. Hotspot of EU-27 drought damage; cell development delayed in grapevine due to July-August rain deficit. EU-wide losses ~13 billion EUR across 6 crops (Pinke et al. 2024 EuroChoices).",verified
climate_event,Late spring frost,,2017,multiple,high,"Standard frost-damage compensation",https://www.munichre.com/en/insights/natural-disaster-and-climate-change/spring-frost-losses-climate-change-2018.html,"April 2017 frost across Europe caused ~3.3 billion EUR damage to fruit and wine growers (~600 million EUR insured). Hungary affected 19-20 April 2017 with extreme precipitation and wet snow event in northern HU and around Budapest.",verified
climate_event,Late spring frost,,2020,multiple,medium,"Standard frost-damage compensation",,"April 2020 frost across Central Europe affected several HU districts; precise borvidék damage list not curated.",partial
climate_event,Late spring frost,,2024,"Eger;Mátra;Villány;Kunság;Hajós-Baja;Csongrád;Dunántúl (multiple)",high,"Crop insurance partial compensation under HU agricultural risk management scheme",https://hnt.hu/hirek/agazati-gyorsjelentes-a-2024-es-evrol,"April 2024 frost (notably 22-23 April cold snap) damaged budburst nationwide. Per HNT 2024 sectoral report and feol.hu coverage: Eger and Mátra hit first, then Villány, Kunság, Hajós-Baja, Csongrád and parts of Dunántúl. Frost-damaged vineyard area reached 5,000-6,000 ha (~10% of HU vineyard area); local damage up to 80% in Alföld and Dunántúl pockets. ~3,000 ha damaged in Kunság/Hajós-Baja/Csongrád combined. 2024 national harvest fell to 3.73 million q, the lowest in a decade.",verified
climate_event,Hailstorm,,2023,"NW Balaton (Badacsony/Balatonfüred-Csopak area);Tokaji (Mád)",medium,"Insurance-based compensation; protected by Országos Jégkármérséklő Rendszer (national hail-mitigation generator system)",https://www.nak.hu/kamara/kamarai-hirek/orszagos-hirek/106368-orszagos-jegkarmerseklo-rendszer-ket-heti-osszesito-2023-09-11-09-30,"Per NAK Országos Jégkármérséklő Rendszer reports: 2023 had an unusually active convective season; generators were operated on 96 days (15 April - 30 September), 176,639 generator-hours total. Reported national hail damage 30,678 ha (all crops, not vineyard-only) vs. ~72,000 ha in 2017 before the system was operational. Notable vineyard hail strikes: NW shore of Lake Balaton in late August 2023, and Mád (Tokaji) in July 2023. Per-borvidék vineyard-only breakdown is not published in primary sources.",partial
regulatory,Copper fungicide cap,Cu compounds,2018,none,,"EU Reg 2018/1981 (13 December 2018) re-approved copper compounds and capped use on grapes at 28 kg Cu/ha over 7 years (~4 kg/ha/year average); approval valid Jan 2019 - 31 December 2025; copper classified as candidate for substitution",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32018R1981,"Major constraint on organic viticulture against downy mildew. Renewal review pending.",verified
regulatory,Mancozeb withdrawal,Mancozeb,2020,none,,"EU Reg 2020/2087 (14 December 2020) non-renewal; MS withdrew authorisations by 4 July 2021; final grace period expired 4 January 2022",https://eur-lex.europa.eu/eli/reg_impl/2020/2087/oj,"Removed a major contact fungicide from the downy mildew toolbox.",verified
regulatory,Glyphosate re-approval,Glyphosate,2023,none,,"EU re-approved glyphosate for 10 years in November 2023 (Reg 2023/2660); approval valid until 15 December 2033. First EU approval was 1 July 2002; first renewal December 2017.",https://food.ec.europa.eu/plants/pesticides/approval-active-substances-safeners-and-synergists/renewal-approval/glyphosate_en,"Continues to be available for vineyard weed control.",verified
regulatory,Neonicotinoid outdoor ban,"thiamethoxam, clothianidin, imidacloprid",2018,none,,"EU outdoor use ban on three neonicotinoids (Reg 2018/783, 784, 785). Acetamiprid not banned; renewed until 28 February 2033 (Reg 2018/113).",https://eur-lex.europa.eu/eli/reg_impl/2018/783/oj,"Limits options for leafhopper vector control - relevant to FD strategy. Acetamiprid remains the only outdoor-allowed neonicotinoid in EU.",verified
regulatory,Thiacloprid non-renewal,Thiacloprid,2020,none,,"EU Reg 2020/23 non-renewal; approval expired 30 April 2020; withdrawn 3 February 2020",https://ec.europa.eu/newsroom/sante/items/667420/en,"Non-renewal due to groundwater contamination and reproductive toxicity (EFSA 2019).",verified
regulatory,Chlorpyrifos non-renewal,"Chlorpyrifos, chlorpyrifos-methyl",2020,none,,"EU Reg 2020/18 (10 January 2020) non-renewal; MS withdrew authorisations by 16 February 2020; grace period expired 16 April 2020",https://eur-lex.europa.eu/eli/reg_impl/2020/18/oj,"Removed organophosphate option for vine pests.",verified
regulatory,Dimethoate non-renewal,Dimethoate,2019,none,,"EU Reg 2019/1090 (26 June 2019) non-renewal",https://eur-lex.europa.eu/eli/reg_impl/2019/1090/oj,"Previously used against Scaphoideus titanus.",verified
