active_substance,chemical_class,eu_status,approval_date,expiry_date,used_against,mrl_grapes_mg_kg,relevance_to_hu_wine,source_url,notes,verification_status,last_verified_date
Copper hydroxide,copper compound,approved,2019-01-01,2025-12-31,downy mildew;bacterial diseases,20,high,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32018R1981,"Re-approved by Reg 2018/1981 (13 Dec 2018), in force from Jan 2019. Capped at 28 kg Cu/ha per 7 years; classified as candidate for substitution. Renewal review pending in 2025.",verified,2026-04-07
Copper oxychloride,copper compound,approved,2019-01-01,2025-12-31,downy mildew,20,high,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32018R1981,"Same Reg 2018/1981; same 28 kg/ha 7-year cap; widely used in HU.",verified,2026-04-07
Tribasic copper sulfate,copper compound,approved,2019-01-01,2025-12-31,downy mildew,20,high,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32018R1981,"Same Reg 2018/1981; same 28 kg/ha 7-year cap.",verified,2026-04-07
Sulphur,inorganic,approved,2010-01-01,,powdery mildew;mites,50,high,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009L0070,"Originally approved 1 Jan 2010 by Commission Directive 2009/70/EC (incl. in Annex I to Dir 91/414/EEC). Approval period repeatedly extended via Reg 2017/555, Reg 2020/1511 (to 31 Dec 2021), and Reg 2023/2592. Current expiry not verified from a single primary source; renewal under Reg 844/2012 procedure ongoing. Backbone of powdery mildew control in Hungary.",partial,2026-04-07
Mancozeb,dithiocarbamate,not_approved,,2021-01-04,downy mildew,,high,https://eur-lex.europa.eu/eli/reg_impl/2020/2087/oj,"Non-renewal Reg 2020/2087 (14 Dec 2020). Approval expired 4 January 2021. MS authorisations withdrawn by 4 July 2021. Grace period for use of stocks expired 4 January 2022. Loss is significant for HU growers.",verified,2026-04-07
Dithianon,quinone,approved,2011-06-01,2029-07-31,downy mildew;black rot,3,high,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32011L0041,"Approved 1 June 2011 by Commission Implementing Directive 2011/41/EU. Approval period extended via Reg 2018/1266, Reg 2020/2007 and most recently Reg 2024/1206 (29 Apr 2024) — extension to 31 July 2029 reported by national MS registers (e.g. UK HSE). Common contact partner for downy mildew programmes.",verified,2026-04-07
Mandipropamid,mandelamide / CAA,approved,2013-08-01,,downy mildew,2,high,https://www.legislation.gov.uk/eur/2013/188,"Approved 1 August 2013 by Reg 188/2013. Modern systemic against Plasmopara.",verified,2026-04-07
Metrafenone,benzophenone,approved,2024-11-01,2039-10-31,powdery mildew,5,high,https://eur-lex.europa.eu/eli/reg_impl/2024/2390/oj/eng,"RENEWED by Commission Implementing Regulation (EU) 2024/2390. New approval applies from 1 November 2024 until 31 October 2039 — a full 15-year renewal. Original approval was 1 February 2007 (Commission Directive 2006/74/EC). Specialised powdery mildew product. Latvia/Slovakia were rapporteur/co-rapporteur for renewal.",verified,2026-04-07
Boscalid,SDHI,approved,2008-08-01,,Botrytis;powdery mildew,5,high,https://eur-lex.europa.eu/eli/dir/2008/44/oj,"Approved 1 August 2008 by Commission Directive 2008/44/EC (incl. in Annex I of Dir 91/414/EEC). Approval period extended several times (most recently Reg 2022/708 of 5 May 2022 and Reg 2023/918 of 4 May 2023). Renewal application submitted June 2015 but delayed pending endocrine-disruptor assessment under Reg 844/2012. EU General Court (T-94/23, 19 Nov 2025) annulled certain extension regulations. Often co-formulated with kresoxim-methyl or pyraclostrobin.",verified,2026-04-07
Fluopyram,SDHI,approved,2014-02-01,,Botrytis;powdery mildew,2,high,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2013:225:0013:0016:EN:PDF,"Approved 1 February 2014 by Reg 802/2013. Modern SDHI used in vineyards.",verified,2026-04-07
