year,borvidek,status,severity,event_short,source,notes,verification_status
2006,"Bács-Kiskun;Somogy;Zalai",vector_present,low,"Scaphoideus titanus (FD vector) first found in Hungary on yellow sticky traps in Bács-Kiskun, Somogy and Zala counties",https://gd.eppo.int/reporting/article-265,"EPPO Reporting Service Article 265 - first record of S. titanus in Hungary; survey 2006.",verified
2013,Zalai,phytoplasma_detected,medium,"First Hungarian Flavescence dorée detection: end of August 2013 in Lenti and Kerkateskánd (Zala county) in a household vineyard near the Slovenian border",https://gd.eppo.int/reporting/article-2673,"EPPO Reporting Service Article 2673. Detected in vector and asymptomatic plants; 1 km demarcated zone established. Slovenian cross-border spread suspected.",verified
2018,multiple,phytoplasma_detected,medium,"Hungary submits IPPC pest report on FD phytoplasma; ongoing surveillance and demarcated zones in Zala area",https://www.ippc.int/en/countries/hungary/pestreports/2018/09/flavescence-doree-phytoplasma/,"IPPC pest report from Hungary, September 2018.",verified
2025,Pannonhalmi,phytoplasma_detected,high,"NÉBIH confirms FD in Pannonhalma wine region (Kajárpéc and Győrszemere, Győr-Moson-Sopron county) on 18 October 2025",https://trademagazin.hu/en/mar-a-pannonhalmi-borvideken-is-megjelent-a-szolo-aranyszinu-sargasag-betegsege/,"Trademagazin reporting on NÉBIH announcement, October 2025.",verified
2025,Tokaji,phytoplasma_detected,catastrophic,"FD confirmed in the Tokaj wine region for the first time, including the historic Tokaj UNESCO World Heritage area",https://wine-intelligence.com/blogs/wine-news-insights-wine-intelligence-trends-data-reports/flavescence-doree-detected-in-hungary-s-tokaj-vineyards-raises-alarms-for-wine-industry,"Tokaj detection considered the most consequential single find of 2025; widely covered in international wine press.",verified
2025,Nagy-Somlói,phytoplasma_detected,high,"FD confirmed in the Somló wine region",https://trademagazin.hu/en/terjed-a-szolo-aranyszinu-sargasag-mar-a-somloi-borvideket-is-elerte-a-sulyos-betegseg/,"Trademagazin: 'spreading: now reached the Somló wine region'.",verified
2025,Villányi,phytoplasma_detected,high,"FD confirmed in the Villány wine region; NÉBIH calls for intensified vector control",https://trademagazin.hu/en/villany-tersegeben-is-megjelent-a-szolo-aranyszinu-sargasag-betegsege-fokozott-vedekezesre-hivja-fel-a-figyelmet-a-nebih/,"Trademagazin reporting on NÉBIH Villány announcement.",verified
2025,all,outbreak_confirmed,catastrophic,"NÉBIH confirms Flavescence dorée in 21 of 22 Hungarian wine districts; over 200 inspection teams surveyed 8,691 hectares in autumn 2025",https://www.vinetur.com/en/2025122294408/flavescence-doree-hits-21-of-22-hungarian-wine-regions-threatening-270-million-liter-industry.html,"Headline 2025 event. The single unaffected district was not specifically named in any source consulted; left unspecified rather than guessed.",verified
2025,all,quarantine_zone,catastrophic,"Hungarian government allocates 3.8 billion HUF (~USD 11M) for emergency inspections, mandatory pesticide programmes and grower compensation",https://thegrapereset.com/bites/phytoplasma-disease-threatens-the-heart-of-hungarian-wine-country,"Aid package covers vector control, surveillance, and uprooting compensation. Confirmed by multiple international sources (Vinetur, The Grape Reset, Wine-Searcher, wein.plus).",verified
2025,all,mass_uprooting,catastrophic,"Mandatory uprooting of symptomatic vines and prophylactic insecticide sprays against Scaphoideus titanus enforced nationwide; drones and mobile diagnostic units deployed",https://thegrapereset.com/bites/phytoplasma-disease-threatens-the-heart-of-hungarian-wine-country,"Affected growers face vineyard losses; replanting restrictions in quarantine zones.",verified
